custid,sex,is_employed,income,num_vehicles,age,state_of_res,gas_usage,rooms,marital_status_Divorced/Separated,marital_status_Married,marital_status_Never married,marital_status_Widowed,housing_type_Homeowner free and clear,housing_type_Homeowner with mortgage/loan,housing_type_Occupied with no rent,housing_type_Rented
001359686_01,0,1,1.09,0.33,0.35,0.9166666666666666,1.25,0.4,0,1,0,0,0,1,0,0
000060133_01,1,1,1.73,0.33,0.09,0.3333333333333333,-0.61,0.2,0,1,0,0,0,1,0,0
000909727_01,0,1,0.52,0.33,0.47,0.875,-0.08,0.0,0,1,0,0,1,0,0,0
000440713_01,0,0,-0.48,0.33,0.73,0.7083333333333333,-0.6,0.6,0,1,0,0,0,1,0,0
000538073_01,1,1,2.01,0.33,0.09,1.0,-0.61,0.8,0,1,0,0,0,1,0,0
000213453_01,1,0,-0.41,0.33,0.62,0.875,-0.6,0.2,0,1,0,0,0,1,0,0
000958495_02,1,1,0.02,0.5,0.08,0.9166666666666666,-0.6,1.0,0,0,1,0,0,1,0,0
000750146_02,0,1,-0.13,0.33,0.6,0.4375,1.44,0.2,0,1,0,0,0,1,0,0
001073655_05,1,0,-0.79,0.0,0.0,0.08333333333333333,-0.6,0.0,0,0,1,0,0,0,0,1
000796895_01,1,0,0.53,0.33,0.72,0.4583333333333333,0.49,0.4,0,1,0,0,1,0,0,0
001036141_02,0,1,0.67,0.67,0.38,0.6041666666666666,0.87,0.4,0,1,0,0,0,1,0,0
001218721_01,1,1,0.1,0.5,0.28,0.5833333333333333,1.25,0.0,0,1,0,0,0,0,0,1
000415641_01,0,1,0.15,0.33,0.1,0.7083333333333333,-0.61,0.0,0,1,0,0,0,1,0,0
000238427_01,1,1,0.93,0.33,0.23,0.6041666666666666,1.06,0.6,0,1,0,0,0,1,0,0
000189844_02,1,1,0.52,0.33,0.46,0.3958333333333333,1.82,0.2,0,1,0,0,0,1,0,0
000511206_02,1,1,-0.68,0.67,0.05,0.7083333333333333,1.63,0.6,0,0,1,0,0,0,0,1
001073661_02,1,0,-0.79,0.17,0.59,0.08333333333333333,0.87,1.0,0,1,0,0,0,1,0,0
000742417_01,1,0,0.08,0.17,0.79,0.25,0.3,0.6,0,0,0,1,1,0,0,0
000039782_02,1,1,1.86,0.5,0.37,0.6041666666666666,0.3,0.0,0,1,0,0,0,1,0,0
001172289_01,1,1,-0.11,0.0,0.05,0.6458333333333333,-0.63,0.4,0,1,0,0,0,0,0,1
000079871_02,0,1,0.52,0.33,0.18,0.20833333333333331,-0.6,0.4,0,1,0,0,0,0,0,1
000173418_02,1,1,2.11,0.5,0.56,0.20833333333333331,-0.6,0.8,0,1,0,0,0,1,0,0
001459015_01,0,0,-0.76,0.33,0.06,0.8125,-0.58,0.4,0,0,1,0,0,0,0,1
000370855_01,1,0,-0.57,0.17,0.17,0.9375,-0.6,0.0,1,0,0,0,0,0,0,1
000968686_02,1,0,0.11,0.33,0.56,0.875,-0.6,0.4,0,1,0,0,0,1,0,0
001462250_01,1,0,-0.14,0.5,0.42,0.08333333333333333,2.4,0.0,0,1,0,0,0,1,0,0
000701757_02,0,1,0.52,0.33,0.37,0.7708333333333333,-0.6,1.0,0,1,0,0,1,0,0,0
000597255_01,0,0,0.51,0.0,0.92,0.6666666666666666,-0.6,1.0,0,0,0,1,1,0,0,0
000316092_01,0,0,-0.79,0.17,0.42,0.3333333333333333,5.06,0.8,0,1,0,0,0,0,0,1
000907210_02,1,0,-0.41,0.33,0.47,0.5416666666666666,0.11,0.2,0,1,0,0,1,0,0,0
001037574_01,1,1,0.47,0.67,0.09,0.4375,-0.08,0.4,0,0,1,0,0,0,0,1
000599663_04,1,0,-0.79,0.33,0.1,0.7083333333333333,0.49,0.8,0,0,1,0,0,0,0,1
000509107_02,0,1,1.3,0.17,0.13,0.7708333333333333,-0.6,0.8,0,1,0,0,0,0,0,1
000570228_01,0,1,1.91,0.33,0.24,0.25,0.68,0.4,0,0,1,0,0,1,0,0
000320021_01,1,1,-0.16,0.33,0.17,0.20833333333333331,-0.6,1.0,0,1,0,0,0,1,0,0
000549974_02,0,0,-0.79,0.0,0.12,0.41666666666666663,-0.6,1.0,0,1,0,0,0,0,0,1
000415798_01,0,1,1.25,0.17,0.26,0.5,-0.6,0.6,1,0,0,0,0,1,0,0
000702476_01,0,0,-0.79,0.33,0.42,0.8958333333333333,-0.6,0.0,0,0,0,1,0,0,0,1
000782205_01,0,1,-0.17,0.33,0.12,0.3125,-0.6,0.8,0,0,1,0,0,0,0,1
000851706_02,0,0,-0.79,0.17,0.15,0.6666666666666666,-0.6,0.8,0,1,0,0,0,0,0,1
001456315_02,0,0,-0.75,0.33,0.64,0.8541666666666666,-0.27,0.0,0,1,0,0,0,1,0,0
001245592_03,0,1,0.65,0.83,0.09,0.875,-0.08,0.4,0,0,1,0,0,1,0,0
000320584_02,0,1,0.12,0.33,0.26,0.08333333333333333,-0.27,0.6,0,0,1,0,0,0,0,1
000297763_02,0,1,-0.53,0.0,0.36,0.7708333333333333,0.3,0.2,0,0,1,0,0,1,0,0
001108778_03,0,1,1.25,0.0,0.47,0.4375,3.16,0.4,1,0,0,0,0,0,0,1
001059294_01,0,1,0.22,0.5,0.4,0.35416666666666663,1.25,0.2,1,0,0,0,0,0,1,0
000654907_01,1,1,0.22,0.33,0.18,0.6041666666666666,-0.6,0.6,0,1,0,0,0,1,0,0
000741149_01,1,1,-0.53,0.33,0.09,0.9166666666666666,-0.6,0.8,0,0,1,0,0,0,0,1
001236829_01,1,1,0.7,0.33,0.53,0.4375,0.11,0.6,0,0,1,0,0,1,0,0
001093164_01,1,1,1.35,0.17,0.18,0.8958333333333333,0.87,0.2,0,0,1,0,1,0,0,0
000843749_01,0,0,-0.69,0.33,0.5,0.0,-0.6,0.0,0,1,0,0,0,0,0,1
000076491_01,0,0,-0.03,0.17,0.51,0.35416666666666663,-0.6,0.4,0,0,0,1,1,0,0,0
000105100_02,0,0,-0.41,0.33,0.1,0.7708333333333333,0.68,0.4,0,0,1,0,1,0,0,0
000219438_01,1,1,1.82,0.5,0.36,0.9791666666666666,-0.27,0.8,0,1,0,0,0,0,0,1
000791714_02,0,0,-0.42,0.17,0.86,0.08333333333333333,0.49,0.8,0,1,0,0,1,0,0,0
001402097_01,1,0,-0.06,0.33,0.55,0.0,-0.6,0.4,0,1,0,0,1,0,0,0
000457284_02,0,0,-0.79,0.33,0.38,0.0625,2.97,1.0,0,1,0,0,1,0,0,0
001343695_02,0,1,0.22,0.33,0.5,0.7708333333333333,3.16,1.0,0,1,0,0,0,1,0,0
001007889_01,1,1,1.63,0.33,0.42,0.0,-0.6,0.2,0,1,0,0,0,1,0,0
001008707_02,0,1,0.47,0.33,0.08,0.08333333333333333,-0.61,0.0,0,1,0,0,0,0,0,1
000546993_01,0,1,-0.46,0.17,0.23,0.041666666666666664,-0.08,1.0,0,1,0,0,0,1,0,0
000402691_01,1,1,2.49,0.5,0.37,0.14583333333333331,0.3,0.8,0,1,0,0,0,1,0,0
000450004_02,1,1,0.47,0.0,0.12,0.08333333333333333,-0.6,0.8,0,1,0,0,0,0,0,1
001372052_01,1,1,3.24,0.33,0.24,0.6458333333333333,0.11,0.4,0,1,0,0,0,1,0,0
000850748_01,0,0,-0.08,0.17,0.45,0.6666666666666666,2.78,0.0,1,0,0,0,0,1,0,0
001378027_01,1,1,0.98,0.33,0.5,0.08333333333333333,0.49,0.0,0,1,0,0,1,0,0,0
000470164_04,0,1,-0.42,0.33,0.29,0.08333333333333333,-0.61,0.8,0,1,0,0,1,0,0,0
001244185_02,0,1,0.37,0.33,0.27,0.29166666666666663,-0.6,0.2,0,1,0,0,0,1,0,0
000898056_01,0,0,-0.38,0.0,0.87,0.22916666666666666,-0.6,0.2,0,0,0,1,1,0,0,0
000781476_01,1,1,-0.68,0.33,0.42,0.5,-0.6,0.4,0,0,1,0,0,0,0,1
001117854_05,1,1,1.98,0.5,0.53,0.6458333333333333,1.25,0.0,0,1,0,0,0,1,0,0
001453951_01,1,0,-0.6,0.0,0.59,0.08333333333333333,-0.61,0.6,0,1,0,0,0,1,0,0
001298239_01,0,1,1.71,0.17,0.59,0.041666666666666664,-0.6,0.0,1,0,0,0,1,0,0,0
000900571_01,1,1,-0.28,0.17,0.12,0.25,0.3,0.2,0,0,1,0,0,0,0,1
001045392_01,0,1,-0.39,0.17,0.47,0.10416666666666666,-0.27,0.2,0,0,1,0,0,0,0,1
000898972_02,1,1,9.19,0.67,0.47,0.7083333333333333,-0.08,0.0,0,1,0,0,0,1,0,0
001167095_01,1,0,0.97,0.33,0.76,0.875,-0.08,0.4,0,1,0,0,1,0,0,0
000133119_01,0,0,-0.26,0.17,0.77,0.125,1.25,0.6,0,1,0,0,0,1,0,0
001466687_01,0,0,-0.59,0.33,0.69,0.1875,-0.6,0.2,0,0,0,1,0,1,0,0
000262103_02,0,0,-0.79,0.33,0.35,0.9166666666666666,-0.6,0.0,0,1,0,0,0,1,0,0
000525632_02,0,0,-0.73,0.0,0.41,0.3125,6.78,0.8,0,1,0,0,0,0,0,1
000296137_02,1,1,-0.48,0.33,0.23,0.6666666666666666,-0.6,0.2,0,1,0,0,0,1,0,0
000165415_01,0,1,1.48,0.17,0.28,0.08333333333333333,-0.61,0.0,1,0,0,0,0,0,0,1
000160026_02,0,0,0.67,0.33,0.63,0.4583333333333333,1.63,0.2,0,1,0,0,1,0,0,0
000217067_02,0,1,2.24,0.67,0.36,0.7083333333333333,-0.61,0.2,0,1,0,0,0,1,0,0
001428140_01,0,1,0.73,0.17,0.49,0.7083333333333333,0.11,0.4,1,0,0,0,0,0,0,1
001122744_01,1,1,-0.63,0.5,0.29,0.35416666666666663,-0.6,0.8,0,0,1,0,0,0,0,1
001104181_01,1,0,-0.76,0.0,0.54,0.6458333333333333,-0.27,0.6,1,0,0,0,0,0,0,1
000877399_04,0,1,-0.38,0.67,0.01,0.35416666666666663,-0.6,0.4,0,0,1,0,1,0,0,0
000082481_02,1,0,-0.77,0.67,0.35,0.4375,1.06,0.2,0,1,0,0,0,1,0,0
000189029_02,1,1,-0.23,0.33,0.42,0.25,1.06,0.4,0,1,0,0,0,1,0,0
000758633_02,1,1,0.3,0.5,0.22,0.9166666666666666,0.68,0.0,0,1,0,0,0,1,0,0
000039712_02,1,1,9.44,0.5,0.44,0.75,2.2,1.0,0,1,0,0,0,1,0,0
000125430_01,1,1,0.62,0.33,0.19,0.6458333333333333,0.3,0.2,0,1,0,0,0,1,0,0
001319395_02,1,0,0.12,0.33,0.79,0.375,-0.6,0.0,0,1,0,0,1,0,0,0
000143921_03,1,1,0.21,0.67,0.65,0.6458333333333333,1.82,0.0,0,1,0,0,1,0,0,0
001405997_01,0,1,-0.35,0.17,0.32,0.9583333333333333,-0.6,0.2,0,0,1,0,0,0,0,1
001107531_01,0,1,1.03,0.0,0.18,0.25,-0.08,1.0,0,0,1,0,0,1,0,0
000524323_06,0,0,-0.73,0.5,0.76,0.1875,-0.6,0.0,0,1,0,0,0,1,0,0
000571530_01,1,1,0.2,0.17,0.09,0.4375,-0.6,0.8,0,0,1,0,0,0,0,1
000223397_01,1,1,2.64,0.17,0.59,0.3958333333333333,-0.6,0.2,1,0,0,0,0,1,0,0
000726921_02,1,1,1.23,0.33,0.1,0.75,-0.6,0.4,0,1,0,0,0,0,0,1
000637467_01,1,1,-0.03,0.17,0.49,0.8958333333333333,4.3,0.6,1,0,0,0,0,0,0,1
001113019_08,0,0,-0.79,0.67,0.53,0.14583333333333331,1.25,1.0,0,1,0,0,0,1,0,0
001135732_01,0,0,-0.56,0.17,0.64,0.1875,-0.6,0.2,1,0,0,0,1,0,0,0
000648105_03,1,1,0.1,0.67,0.13,0.4583333333333333,-0.6,1.0,0,0,1,0,0,1,0,0
000697261_02,1,0,-0.16,0.5,0.53,0.6458333333333333,1.25,0.6,0,1,0,0,0,1,0,0
000380483_01,0,0,1.14,0.17,0.86,0.3958333333333333,-0.6,0.4,0,0,0,1,0,0,0,1
000080947_04,0,0,-0.77,0.17,0.0,0.875,-0.6,0.2,0,0,1,0,0,0,0,1
000252433_01,1,1,0.57,0.5,0.47,0.6666666666666666,-0.6,0.0,1,0,0,0,0,1,0,0
001151755_01,0,1,0.01,0.33,0.17,0.08333333333333333,-0.61,1.0,0,1,0,0,0,0,0,1
000547649_01,1,1,6.01,0.0,0.06,0.6458333333333333,-0.63,0.0,0,0,1,0,0,0,0,1
001156654_01,1,1,0.67,0.17,0.1,0.8125,-0.46,0.4,0,0,1,0,0,1,0,0
000260593_01,0,0,-0.57,0.17,0.23,0.9583333333333333,-0.6,0.4,0,0,1,0,0,0,0,1
000417480_01,0,1,0.89,0.33,0.55,0.6666666666666666,-0.6,1.0,0,0,0,1,1,0,0,0
000543341_01,1,1,-0.18,0.0,0.46,0.25,-0.6,0.0,0,1,0,0,0,0,1,0
001364571_02,0,0,-0.26,0.33,0.67,0.875,0.11,1.0,0,1,0,0,1,0,0,0
001275230_01,0,0,-0.34,0.33,0.73,0.6458333333333333,-0.6,0.0,0,1,0,0,1,0,0,0
001240041_03,0,1,0.35,0.67,0.27,0.3333333333333333,0.49,0.8,0,0,1,0,1,0,0,0
000471827_01,0,0,-0.19,0.17,0.74,0.20833333333333331,0.68,1.0,1,0,0,0,1,0,0,0
000276497_02,0,0,-0.58,0.17,0.55,0.3958333333333333,1.25,0.6,0,1,0,0,1,0,0,0
000172067_01,1,0,-0.17,0.17,0.49,0.35416666666666663,-0.08,0.6,0,1,0,0,0,1,0,0
000038053_01,0,1,3.5,0.5,0.15,0.08333333333333333,-0.61,0.4,0,1,0,0,0,1,0,0
000407663_01,1,1,1.23,0.17,0.35,0.25,0.11,0.6,1,0,0,0,0,1,0,0
001146276_01,1,1,0.93,0.33,0.42,0.08333333333333333,-0.6,1.0,0,1,0,0,0,0,0,1
000281212_01,0,1,0.27,0.17,0.29,0.25,-0.6,0.0,1,0,0,0,0,0,0,1
001267979_01,1,0,-0.26,0.0,0.82,0.08333333333333333,-0.61,0.0,0,1,0,0,0,0,0,1
001076378_03,0,1,-0.16,0.5,0.12,0.4375,1.25,0.2,0,0,1,0,0,0,0,1
000090675_02,0,1,-0.5,0.33,0.22,0.0625,-0.08,0.8,0,1,0,0,1,0,0,0
000836668_02,0,0,-0.13,0.33,0.65,0.2708333333333333,0.87,0.8,0,1,0,0,1,0,0,0
000723874_02,1,1,0.05,0.5,0.28,0.1875,-0.6,0.8,0,1,0,0,1,0,0,0
000419716_03,0,1,-0.21,0.5,0.08,0.08333333333333333,-0.63,0.8,0,0,1,0,0,0,1,0
000631463_01,1,1,2.24,0.5,0.38,0.08333333333333333,-0.61,0.6,0,1,0,0,0,1,0,0
001076435_02,1,1,0.6,0.33,0.44,0.375,-0.6,0.8,1,0,0,0,0,1,0,0
000955645_02,0,1,1.13,0.67,0.33,0.6041666666666666,-0.61,0.4,1,0,0,0,0,1,0,0
000523201_01,1,0,-0.57,0.0,0.05,0.0,-0.6,1.0,0,0,1,0,0,0,0,1
000506431_01,0,1,-0.2,0.17,0.13,0.6458333333333333,1.06,1.0,0,1,0,0,0,1,0,0
001103375_01,1,0,-0.46,0.67,0.54,0.20833333333333331,-0.6,1.0,0,1,0,0,1,0,0,0
000704055_03,1,0,-0.6,0.5,0.94,0.5,-0.61,0.8,0,0,0,1,0,1,0,0
000910196_01,0,0,-0.06,0.17,0.73,0.7291666666666666,3.16,0.0,0,0,0,1,1,0,0,0
000875258_01,0,0,0.24,0.17,0.74,0.08333333333333333,-0.27,0.2,1,0,0,0,0,0,0,1
001172662_01,0,0,0.73,0.33,0.56,0.3333333333333333,-0.6,0.8,0,0,1,0,0,1,0,0
000434258_07,1,1,-0.61,0.5,0.0,0.6041666666666666,0.3,0.2,0,0,1,0,0,1,0,0
000831237_02,0,0,0.11,0.33,0.54,0.3333333333333333,0.49,0.6,0,1,0,0,0,1,0,0
000508532_03,1,1,1.61,0.17,0.35,0.3958333333333333,-0.6,0.6,0,0,1,0,1,0,0,0
000789106_02,0,1,-0.41,0.33,0.28,0.7291666666666666,0.3,0.8,0,1,0,0,0,1,0,0
000514052_01,1,1,0.67,0.33,0.49,0.25,-0.61,0.4,0,1,0,0,1,0,0,0
000919001_01,0,1,0.47,0.5,0.36,0.6458333333333333,-0.6,0.8,0,1,0,0,0,1,0,0
001319948_01,1,0,-0.58,0.33,0.5,0.4583333333333333,-0.61,0.6,0,1,0,0,0,1,0,0
000118362_01,1,1,1.33,0.33,0.44,0.7708333333333333,-0.61,0.2,0,1,0,0,0,1,0,0
001041401_02,0,0,-0.29,0.5,0.71,0.875,-0.6,0.6,0,0,0,1,1,0,0,0
000202051_01,1,1,-0.36,0.33,0.32,0.6458333333333333,-0.6,0.2,0,1,0,0,0,0,0,1
001157078_01,1,1,0.02,0.17,0.03,0.9791666666666666,-0.63,0.4,0,0,1,0,0,0,0,1
000811437_02,0,0,-0.24,0.33,0.68,0.25,0.87,0.8,0,1,0,0,0,1,0,0
000951668_03,0,0,-0.79,0.67,0.1,0.875,-0.08,0.2,0,1,0,0,0,1,0,0
000683152_01,1,1,0.47,0.17,0.0,0.875,-0.6,0.2,0,0,1,0,0,0,0,1
000592663_02,0,1,0.52,0.5,0.41,0.6041666666666666,-0.6,1.0,0,1,0,0,1,0,0,0
001039367_01,1,0,-0.53,0.5,0.01,0.8958333333333333,-0.6,1.0,0,0,1,0,0,0,0,1
000327006_02,1,1,-0.16,0.33,0.12,0.7083333333333333,-0.61,1.0,0,1,0,0,0,1,0,0
001326865_02,0,1,-0.3,0.5,0.58,0.7083333333333333,0.11,0.6,0,1,0,0,1,0,0,0
000714400_02,1,0,0.03,0.33,0.73,0.9791666666666666,0.3,0.2,0,1,0,0,0,0,1,0
001411481_02,0,0,-0.28,0.67,0.46,0.47916666666666663,-0.27,0.4,0,1,0,0,0,1,0,0
000993043_01,1,0,-0.79,0.33,0.32,0.6458333333333333,-0.6,0.8,0,0,1,0,0,0,0,1
001089706_01,1,1,0.21,0.17,0.53,0.875,0.11,0.2,0,1,0,0,1,0,0,0
001473658_01,1,1,1.21,0.5,0.45,0.7291666666666666,0.3,0.6,0,1,0,0,0,1,0,0
000176095_01,0,1,-0.03,0.33,0.14,0.8125,0.11,0.2,0,1,0,0,0,1,0,0
000304146_01,0,0,-0.04,0.17,0.73,0.6041666666666666,-0.6,0.4,0,0,0,1,1,0,0,0
000148949_02,0,0,-0.79,0.17,0.74,0.3333333333333333,-0.27,0.6,0,1,0,0,1,0,0,0
000147075_01,0,1,0.06,0.17,0.06,0.3333333333333333,-0.6,1.0,0,0,1,0,0,0,0,1
001115930_02,0,1,-0.53,0.17,0.17,0.47916666666666663,0.68,0.0,0,1,0,0,0,1,0,0
001107359_17,0,1,-0.38,0.5,0.44,0.6458333333333333,2.01,1.0,0,0,1,0,0,1,0,0
001184243_05,1,1,-0.03,0.5,0.14,0.7083333333333333,1.82,0.4,0,1,0,0,1,0,0,0
001244521_01,0,0,-0.74,0.33,0.01,0.9375,-0.6,0.8,0,0,1,0,0,0,0,1
000388533_02,1,1,0.12,0.33,0.01,0.8125,-0.46,0.4,0,0,1,0,0,0,0,1
000546341_01,1,1,0.27,0.17,0.47,0.6041666666666666,1.63,0.6,0,0,1,0,0,1,0,0
000479675_02,0,0,-0.46,0.33,0.14,0.7291666666666666,-0.08,0.0,1,0,0,0,1,0,0,0
001209979_02,1,0,-0.79,0.67,0.38,0.08333333333333333,1.25,0.4,0,1,0,0,0,1,0,0
000534817_01,0,1,-0.13,0.17,0.47,0.9791666666666666,0.11,0.2,1,0,0,0,0,0,0,1
000345530_01,0,1,0.8,0.33,0.06,0.7083333333333333,-0.6,0.8,0,1,0,0,0,1,0,0
000719328_02,0,0,-0.55,0.33,0.77,0.4375,-0.61,0.2,0,1,0,0,1,0,0,0
000862052_02,1,1,0.32,0.17,0.32,0.4583333333333333,0.49,0.0,0,1,0,0,1,0,0,0
001418228_02,0,1,-0.22,0.33,0.17,0.6875,-0.63,0.0,0,0,1,0,0,1,0,0
000462091_02,1,1,0.5,0.33,0.08,0.6458333333333333,3.16,0.2,0,0,1,0,0,1,0,0
000180580_01,1,1,-0.03,0.17,0.46,0.4375,-0.63,1.0,1,0,0,0,0,0,0,1
000985731_01,1,1,0.72,0.33,0.32,0.10416666666666666,1.63,0.0,0,0,1,0,0,1,0,0
001018428_02,1,0,-0.78,0.5,0.09,0.6666666666666666,-0.6,0.0,0,0,1,0,1,0,0,0
000649343_01,0,0,-0.24,0.0,0.65,0.6458333333333333,-0.27,0.4,0,0,0,1,0,0,0,1
000527689_01,1,1,0.0,0.33,0.41,0.9375,-0.61,0.0,0,0,1,0,0,1,0,0
000921741_02,0,1,-0.03,0.67,0.23,0.7083333333333333,2.59,0.8,0,1,0,0,0,1,0,0
001107561_01,0,0,-0.64,0.17,0.49,0.1875,-0.6,0.2,0,0,0,1,0,0,0,1
001511812_02,0,1,0.35,0.33,0.24,0.7083333333333333,-0.27,1.0,0,0,1,0,0,1,0,0
000897296_02,0,0,-0.14,0.5,0.49,0.8958333333333333,-0.6,0.6,0,1,0,0,1,0,0,0
001305246_02,1,1,-0.3,0.67,0.45,0.3125,0.68,0.4,0,1,0,0,0,1,0,0
000872765_01,1,1,0.4,0.17,0.22,0.041666666666666664,-0.61,0.8,0,0,1,0,0,1,0,0
000996238_01,1,1,1.1,0.33,0.56,0.9583333333333333,-0.6,0.0,0,1,0,0,0,0,0,1
000002223_01,1,0,0.98,0.33,0.54,0.6458333333333333,-0.61,0.8,0,1,0,0,0,1,0,0
000785295_02,0,1,-0.03,0.33,0.38,0.08333333333333333,-0.61,0.4,0,1,0,0,0,1,0,0
000512804_05,0,1,0.18,0.33,0.19,0.6458333333333333,1.06,0.6,0,1,0,0,0,0,0,1
000716072_01,1,1,2.49,0.17,0.19,0.08333333333333333,-0.63,0.0,0,0,1,0,0,0,0,1
000030096_01,0,1,-0.23,0.33,0.28,0.875,-0.6,1.0,0,1,0,0,0,1,0,0
001030607_02,1,0,-0.5,0.0,0.49,0.9375,-0.6,1.0,0,1,0,0,0,0,0,1
001191591_05,1,0,-0.07,0.5,0.6,0.6041666666666666,0.11,0.2,0,1,0,0,0,1,0,0
000517045_01,0,0,-0.56,0.33,0.0,0.6458333333333333,-0.6,0.8,0,0,1,0,0,0,0,1
001396240_02,0,0,-0.03,0.0,0.18,0.08333333333333333,-0.6,1.0,0,1,0,0,0,0,0,1
